feature,f_score,f_score_pvalue,mutual_info,f_score_rank,mutual_info_rank,combined_rank,random_forest_importance,random_forest_rank,f_score_norm,mutual_info_norm,random_forest_importance_norm,combined_score,final_rank
wav_wavelet_total_energy,47.83340681596398,2.0208068553973505e-49,0.02238545867297148,44,35,42,0.0008542295312110429,33,0.0,0.04132298276587785,0.004231757890614237,0.01518491355216403,35
wav_wavelet_energy_d4,55.00283978111713,4.901262430952419e-57,0.020706404228317155,41,36,41,0.0010957545599880858,29,0.0,0.03822349131059684,0.005428245964327966,0.0145505790916416,36
comp_sig_hjorth_complexity,37.93876220733265,6.434257729778806e-39,0.019088647767117717,48,39,45,0.0011841233100763039,27,0.0,0.03523715436114455,0.005866014903244626,0.01370105642146306,37
comp_sig_compression_ratio_mean,187.0400846677621,3.1862854034550704e-196,0.020104085619830236,24,37,29,0.0007132548872000169,40,0.0,0.03711162660227507,0.0035333852163232497,0.013548337272866107,38
comp_sig_hjorth_mobility,7.74264947749479,2.747347241342886e-07,0.01975607243715949,56,38,47,0.0005895463022280874,45,0.0,0.03646920318983164,0.002920546674146523,0.013129916621326057,39
wav_wavelet_coef_max,93.50871653605176,6.8536406910292e-98,0.018310015643351996,36,40,40,0.0010848258837988657,30,0.0,0.0337998194241491,0.005374106520527498,0.0130579753148922,40
wav_wavelet_coef_skewness,46.49699012536084,5.306110430830238e-48,0.017391998803216957,45,41,43,0.00044626785370529735,50,0.0,0.032105183874443374,0.0022107612090716947,0.01143864836117169,41
comp_sig_bzip2_ratio,172.48914139587967,5.01810972942936e-181,0.016702585061521447,25,42,34,0.0006791084414826003,41,0.0,0.030832543783264874,0.0033642275299854206,0.011398923771083432,42
wav_wavelet_energy_approx,49.31212736365664,5.432659384677643e-51,0.016680409635109417,43,43,43,0.0006628451973954528,43,0.0,0.030791608514667643,0.003283661231375722,0.011358423248681122,43
comp_sig_lempel_ziv_complexity,123.70262662725592,8.524242983719176e-130,0.014759231708619591,30,44,39,0.0011689857698484153,28,0.0,0.027245163319761755,0.005791025216089884,0.011012062845283879,44
label_HYP,163.33134625072645,1.9269665452704473e-171,0.013226320456236618,26,45,36,0.00040478021522106735,51,0.0,0.02441544845042451,0.0020052360719698533,0.008806894840798121,45
diag_HYP,163.33134625072645,1.9269665452704473e-171,0.011535600985606909,26,46,37,0.0003836784306653116,53,0.0,0.021294423656274444,0.0019007001831517,0.0077317079464753816,46
comp_rr_hjorth_complexity,7.946295751939099,1.7147553817696346e-07,0.011221504002099092,55,47,53,0.0003997619493989745,52,0.0,0.020714608677902827,0.001980376142391284,0.007564994940098037,47
wav_wavelet_energy_d5,52.0946664688004,6.018344995433712e-54,0.009756853825342748,42,48,46,0.000888656435810593,32,0.0,0.01801090200401548,0.004402304938995988,0.007471068981003823,48
wav_wavelet_qrs_energy_ratio,12.53183436211774,3.549523561310756e-12,0.009194138831816634,51,50,50,0.000800328238494684,34,0.0,0.01697214455350781,0.003964736893993592,0.006978960482500467,49
wav_wavelet_energy_d3,12.53183436211774,3.549523561310756e-12,0.009218008046794068,51,49,49,0.0007292967420271751,37,0.0,0.017016206512369455,0.0036128547772136042,0.006876353763194353,50
wav_wavelet_energy_d1,9.375111645453428,6.140939851138246e-09,0.00853471051634802,54,52,55,0.000678521082728394,42,0.0,0.015754856790342928,0.003361317820180364,0.0063720582035077635,51
wav_wavelet_energy_d6,32.00795416040708,1.2421722954264837e-32,0.008570063220420199,50,51,50,0.0005104960585344859,47,0.0,0.01582011697564642,0.0025289405773271764,0.006116352517657866,52
wav_wavelet_energy_d2,10.786657451371635,2.2201650658077352e-10,0.0072466574814713525,53,53,55,0.00048620618525473856,48,0.0,0.013377143912562528,0.002408611252294516,0.005261918388285681,53
comp_rr_hjorth_mobility,2.827258661279886,0.014785489515441305,0.006086155863136433,57,54,57,0.0003516965795039199,55,0.0,0.011234887679406615,0.0017422656569924388,0.004325717778799685,54
wav_wavelet_energy_entropy,38.126484319399545,4.068028487693563e-39,0.004964725939403447,46,56,53,0.0005314333486520409,46,0.0,0.00916475679272032,0.0026326615790319904,0.003932472790584104,55
wav_wavelet_energy_concentration,38.12648431939477,4.0680284877438e-39,0.005007620338885577,47,55,53,0.00046238897360454463,49,0.0,0.009243938754387823,0.002290623440294796,0.0038448540648942063,56
sex,72.38708890304656,1.6962373234607044e-75,0.004081371449804028,39,57,48,0.00031188847119186685,56,0.0,0.007534107053389685,0.001545060725173782,0.0030263892595211554,57
