feature,f_score,f_score_pvalue,mutual_info,f_score_rank,mutual_info_rank,combined_rank,random_forest_importance,random_forest_rank,f_score_norm,mutual_info_norm,random_forest_importance_norm,combined_score,final_rank
wav_wavelet_energy_concentration,75.14694758635977,4.735692789831381e-78,0.025663007036525798,36,41,38,0.0009628448040818662,44,0.0,0.045749480823906084,0.005256939433476344,0.017002140085794145,42
wav_wavelet_energy_d5,114.96255294848693,1.050656115151141e-119,0.023492389903530864,26,44,34,0.0012278354191548237,37,0.0,0.041879918431601285,0.00670373502085715,0.01619455115081948,43
wav_wavelet_energy_approx,96.90169506447117,7.320332695663608e-101,0.023754259680703882,32,43,36,0.0008431526969658761,50,0.0,0.04234675407296186,0.00460344454509304,0.0156500662060183,44
wav_wavelet_qrs_energy_ratio,2.8559358458722635,0.013957240680583918,0.02085652661717896,56,46,53,0.0011374432240911633,38,0.0,0.03718096102954153,0.006210211773191331,0.014463724267577619,45
wav_wavelet_energy_d3,2.8559358458722635,0.013957240680583918,0.02085652661717896,56,46,53,0.001117696985383041,39,0.0,0.03718096102954153,0.006102401271968811,0.014427787433836778,46
comp_sig_kolmogorov_estimate,83.51812681902189,7.654865544809773e-87,0.020980817610240177,34,45,42,0.0009314072333641093,47,0.0,0.03740253476778448,0.00508529660537128,0.014162610457718586,47
comp_sig_compression_ratio_mean,100.78186320397488,6.438522054129017e-105,0.018799031611130612,30,48,40,0.0010653731571530051,40,0.0,0.03351306162124076,0.0058167236687176735,0.013109928429986144,48
wav_wavelet_energy_d1,62.14904632213322,2.2716531056437507e-64,0.01746072340371896,43,49,49,0.0009638978695624385,43,0.0,0.03112725758883286,0.0052626889597004916,0.01212998218284445,49
comp_sig_lzma_ratio,83.51812681902189,7.654865544809773e-87,0.01633213333613659,34,51,44,0.0010603753158768031,41,0.0,0.029115318396304764,0.005789436458176847,0.011634918284827205,50
wav_wavelet_coef_skewness,66.50400471008248,5.871397477334134e-69,0.016551658513820566,41,50,48,0.0008667064069391982,49,0.0,0.02950666625715846,0.00473204307544653,0.01141290311086833,51
wav_wavelet_energy_d2,49.87126498885272,2.0243952514927274e-51,0.013346435033354087,44,52,51,0.0009353861134701744,46,0.0,0.023792709589990507,0.005107020492379834,0.009633243360790114,52
wav_wavelet_energy_d6,10.669887095899155,2.9722615578979867e-10,0.006848236946352504,50,54,55,0.0009174831323983939,48,0.0,0.012208362192661167,0.005009273807998265,0.005739212000219811,53
sex,71.06078483834575,9.38676192829105e-74,0.00848868580322737,39,53,49,0.00028285167480843367,57,0.0,0.015132792810373977,0.0015443133896777565,0.0055590354000172445,54
comp_sig_lempel_ziv_complexity,28.967548240780783,2.3257177105355225e-29,0.0038710974674742715,47,55,53,0.0006824226046691884,51,0.0,0.0069010112144543565,0.0037258904919801276,0.003542300568811495,55
comp_rr_hjorth_mobility,2.9332718889836586,0.011914673634969139,0.0,54,56,56,0.0006222734821416327,52,0.0,0.0,0.0033974883520260933,0.001132496117342031,56
comp_rr_hjorth_complexity,2.8829875281419706,0.013206947851574157,0.0,55,56,57,0.0006097988569572853,53,0.0,0.0,0.003329379401579021,0.0011097931338596735,57
